lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01000907,Camden 001A,21.1,0.17,7.9,18,54.4,20,44.2,61.2,0.5,30223.00 ,4.6,0
E01000908,Camden 001B,13.2,0.15,8,17.7,52.6,15,50.4,59.5,0.5,32049.00 ,2.9,0
E01000909,Camden 001C,7.3,0.18,2.9,21.2,18.6,9.6,61.9,36.8,0.9,58469.00 ,3.3,0
E01000912,Camden 001D,15.7,0.22,9.2,14.6,51.3,18,47.2,60.6,0.4,31551.00 ,4.6,0
E01000913,Camden 001E,3.7,0.13,1.3,27.6,1.9,4.9,65.2,22.3,1.2,73024.00 ,2.8,0
E01000893,Camden 002A,5.7,0.15,1,20.6,4.5,3.7,72.6,43.8,0.8,64138.00 ,3.2,0
E01000894,Camden 002B,2.9,0.12,1.5,18.7,4.2,3,71.3,38.6,0.8,72739.00 ,3.9,0
E01000895,Camden 002C,6.1,0.16,3.1,12.5,24.1,9.5,62.1,55.3,0.5,53603.00 ,3.9,0
E01000896,Camden 002D,2.5,0.13,2.2,19.4,4.1,4.7,73.6,39.7,0.8,70351.00 ,4.4,0
E01000899,Camden 002E,4.6,0.1,1.4,22.2,1.7,6.2,62.6,25.9,1.1,76166.00 ,3,0
E01000910,Camden 003A,5.6,0.18,2.9,21.6,16.5,6.9,66.3,38.1,0.8,64961.00 ,4.7,1
E01000911,Camden 003B,14,0.16,7,22.6,39.7,15.5,53.3,50.4,0.6,37176.00 ,4.9,1
E01000921,Camden 003C,7.5,0.29,6.1,15.5,21,9.2,61,70.7,0.4,35597.00 ,5.9,1
E01000923,Camden 003D,10.4,0.21,5.4,24.8,33.8,13.9,57.9,53.8,0.5,45322.00 ,5.6,1
E01000928,Camden 003E,12.9,0.19,6.7,22.6,37.1,17.2,50.6,55.9,0.5,35656.00 ,5.7,1
E01000878,Camden 004A,8,0.36,4.1,20.5,11.3,7.7,45.6,34.2,1,56251.00 ,4.3,1
E01000879,Camden 004B,5.5,0.23,2.3,19.6,8.3,5.2,60,45.8,0.7,64715.00 ,4.9,0
E01000880,Camden 004C,5.5,0.11,2.2,22.9,5.3,4.9,68.1,35.6,0.8,69876.00 ,5.8,1
E01000884,Camden 004D,5.7,0.15,2.2,25.8,4.2,4.9,65.3,26.2,1.2,71430.00 ,2.7,0
E01000885,Camden 004E,5.9,0.12,1.3,15.5,8.4,10.8,56.6,19.8,1.3,78339.00 ,2.6,2
E01000871,Camden 005A,6.5,0.2,4.7,26.4,14.4,8.8,57.8,36.7,0.9,50050.00 ,3.9,0
E01000872,Camden 005B,7.6,0.29,7.4,15.8,14.8,11.2,51.6,65.1,0.4,32194.00 ,5.1,1
E01000873,Camden 005C,8.5,0.24,4.6,25.6,13.8,6.6,65.5,44.8,0.7,54005.00 ,3.8,0
E01000874,Camden 005D,5,0.2,2.3,28.3,3,4.4,67.5,45.9,0.6,57465.00 ,5.9,1
E01000877,Camden 005E,5,0.24,3.2,23.4,9.8,6.3,64.2,48.8,0.6,54472.00 ,5,1
E01000886,Camden 006A,9.4,0.17,2.6,29.9,17.7,7.8,62.1,42.2,0.7,50302.00 ,4,0
E01000887,Camden 006B,8.8,0.22,2.7,24.6,19.1,10,60.9,55.8,0.5,44663.00 ,4.8,1
E01000888,Camden 006C,9.6,0.18,4.9,19.4,30.7,11.6,59.1,53.5,0.6,43520.00 ,4.2,0
E01000892,Camden 006D,12,0.17,5.8,17.7,28.3,9.5,56.6,51.8,0.6,43769.00 ,4.8,1
E01000903,Camden 006E,6.4,0.21,5.1,16.5,32.1,11.5,56.7,52,0.5,43891.00 ,3.8,0
E01000889,Camden 007A,20.2,0.24,11.7,10.8,71.8,26.4,28.5,64.5,0.4,25438.00 ,3.6,0
E01000890,Camden 007B,16.3,0.19,14.6,6,82.8,30.6,24.8,71.1,0.3,20034.00 ,4.1,0
E01000891,Camden 007C,20.8,0.26,15.7,8,68.5,29.2,27.5,75.6,0.3,19956.00 ,3.2,0
E01000901,Camden 007D,23.3,0.28,13.8,11.1,66.1,22.3,34.4,68.7,0.3,23151.00 ,4.6,0
E01000922,Camden 007E,11.2,0.33,10.8,13.2,42.1,14.3,44.2,65.5,0.4,30870.00 ,5.9,1
E01000927,Camden 007F,12.1,0.27,5.6,23.4,21.5,12.8,59.2,54.6,0.5,43205.00 ,6.7,1
E01000881,Camden 008A,5.4,0.25,5.2,11.6,9.8,5.1,62.3,53.2,0.6,48802.00 ,6.4,1
E01000882,Camden 008B,4.3,0.16,1.4,20.5,2.7,3.2,72.2,45.5,0.7,66131.00 ,5.4,1
E01000883,Camden 008C,4.4,0.24,2.3,14.4,7.8,6.8,64.2,61.4,0.5,50701.00 ,6.8,1
E01000897,Camden 008D,3.6,0.11,0.9,20.9,2.2,4.6,73.5,37.2,0.8,72916.00 ,4.6,1
E01000898,Camden 008E,6.1,0.2,8.8,8.4,44.1,10,63.5,66,0.4,44230.00 ,5,1
E01000866,Camden 009A,12.4,0.26,9.1,15.9,44,14.3,50.4,62.2,0.4,33436.00 ,6.3,1
E01000870,Camden 009B,12.1,0.25,10.3,20.5,45.2,15.8,49,59,0.5,31544.00 ,5.7,1
E01000924,Camden 009C,8.1,0.25,5.3,20.5,24.8,8.5,63,60,0.5,40620.00 ,5,1
E01000925,Camden 009D,18.6,0.23,19,11.6,63,25.4,34.3,70.4,0.3,24857.00 ,5.3,1
E01000926,Camden 009E,11.2,0.27,7.6,15.5,33.1,10.8,61,63.9,0.4,32990.00 ,5,1
E01000969,Camden 010A,4.9,0.25,2.9,21.3,5,4.1,71.4,53.2,0.6,54854.00 ,6.2,1
E01000970,Camden 010B,3.7,0.31,3.1,23.1,7.3,4.4,72.2,61.5,0.4,48915.00 ,5.8,1
E01000971,Camden 010C,6,0.2,1.9,25.1,10.9,8,64.5,46.1,0.7,55958.00 ,4.9,1
E01000972,Camden 010D,13.6,0.26,16.3,6.3,46.2,15,48.3,66.8,0.4,30164.00 ,6.8,1
E01000973,Camden 010E,10.4,0.32,10.6,14.1,28.2,10.9,56.8,62.9,0.4,33620.00 ,6.2,1
E01000842,Camden 011A,4.3,0.16,2.4,18.1,11.5,4.1,69.8,48.8,0.6,62118.00 ,4.1,0
E01000844,Camden 011B,3.7,0.17,2.1,19.4,7.7,4.6,70.9,53.3,0.6,61186.00 ,4.4,0
E01000848,Camden 011C,3.1,0.13,1.7,20.2,9.1,7.4,67.4,49.2,0.6,60261.00 ,4.3,0
E01000849,Camden 011D,4.8,0.22,2.8,18.2,7.3,5.5,68.7,63.6,0.4,50928.00 ,4.7,1
E01000900,Camden 012A,13.6,0.25,11,17.4,42.9,19.1,42.4,65.3,0.4,31182.00 ,4.3,0
E01000902,Camden 012B,20,0.23,15,10.2,62.2,21.9,35.8,67.5,0.4,24571.00 ,3.2,0
E01000904,Camden 012C,16.6,0.26,11.1,13.2,52.1,18.1,40.8,65.4,0.4,29190.00 ,6.7,1
E01000905,Camden 012D,22.9,0.23,18.9,7.1,77.2,29.2,27.1,71.6,0.3,21024.00 ,5,1
E01000906,Camden 012E,6,0.23,4.3,20.9,12.8,7.2,67.2,53,0.6,48841.00 ,4.7,1
E01000875,Camden 013A,10.1,0.32,8.6,17.3,15.9,9.4,56.1,66.4,0.4,33219.00 ,4.9,1
E01000876,Camden 013B,12.6,0.25,15.7,18,42.8,17.1,44.4,64.9,0.4,28093.00 ,4.6,1
E01000931,Camden 013C,13.6,0.25,15.4,13.6,42.5,20.5,37.4,70.1,0.3,25729.00 ,5.7,1
E01000932,Camden 013D,8.7,0.3,8.3,18.9,27.6,9.9,61,65.3,0.4,37270.00 ,6.1,1
E01000974,Camden 013E,11.3,0.31,15.2,16.3,35.8,15.4,45.8,64.9,0.4,29982.00 ,5.8,1
E01000843,Camden 014A,9,0.2,7,13.9,22.2,8.3,63.2,57.4,0.5,44503.00 ,4,0
E01000845,Camden 014B,5.7,0.22,4.4,21.5,12.7,6.8,63.9,47.9,0.6,53278.00 ,3.7,0
E01000846,Camden 014C,19,0.17,17.5,10.2,58.3,18.3,42.4,53.9,0.6,34028.00 ,3.4,0
E01000847,Camden 014D,14.2,0.19,11.1,14.6,40.8,13.8,46.1,48,0.7,35289.00 ,4.6,1
E01000864,Camden 015A,10.5,0.3,8.2,19.8,28,10.7,55.5,59.3,0.5,38957.00 ,3.2,0
E01000865,Camden 015B,4.9,0.5,3.6,22.8,27.1,5.5,45.5,55.9,0.5,47904.00 ,4.6,0
E01000867,Camden 015C,12.7,0.32,10,11.9,45.3,19.7,41.8,72.4,0.3,26792.00 ,6.9,1
E01000868,Camden 015D,17.8,0.19,25.8,8.4,71.7,23.1,33.7,63.7,0.4,24521.00 ,2.4,2
E01000869,Camden 015E,9.1,0.31,8.9,17.7,25.9,11.1,54.7,61.9,0.4,34563.00 ,4.3,0
E01000962,Camden 016A,6,0.25,3.1,23.6,5.9,4.2,71.9,52.3,0.6,57954.00 ,6.7,1
E01000964,Camden 016B,11.1,0.19,5.3,19.1,30.3,8,60.3,52.5,0.6,45755.00 ,7,1
E01000965,Camden 016C,8.1,0.26,5.1,21.5,18.2,7.6,65,54.8,0.5,44410.00 ,6.2,1
E01000966,Camden 016D,2.8,0.21,0.9,26.5,3.7,4.6,74.1,40.3,0.8,63943.00 ,5.6,1
E01000968,Camden 016E,4.9,0.27,4.7,20.7,18.2,8.4,67.4,55.8,0.5,46075.00 ,6.3,1
E01000960,Camden 017A,6.8,0.23,5.1,15.2,17.2,8.9,58.1,60.8,0.5,41451.00 ,7,1
E01000961,Camden 017B,17.6,0.21,11.3,13.3,38.3,16.7,43.8,55.4,0.5,30385.00 ,6.8,1
