lsoa,names,ethnic_asian,ethnic_black,tenure_mortgage_loan,tenure_private,no_qualifications,bad_health,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01000907,Camden 001A,8.5,7.9,18,13.7,20,8.7,0.5,30223.00 ,4.6,0
E01000908,Camden 001B,6.2,8,17.7,14,15,9.4,0.5,32049.00 ,2.9,0
E01000909,Camden 001C,4.6,2.9,21.2,18.8,9.6,4.5,0.9,58469.00 ,3.3,0
E01000912,Camden 001D,5.1,9.2,14.6,15,18,8.2,0.4,31551.00 ,4.6,0
E01000913,Camden 001E,4.7,1.3,27.6,19.4,4.9,3.1,1.2,73024.00 ,2.8,0
E01000893,Camden 002A,4.8,1,20.6,34.1,3.7,2.7,0.8,64138.00 ,3.2,0
E01000894,Camden 002B,8.4,1.5,18.7,35.5,3,2.1,0.8,72739.00 ,3.9,0
E01000895,Camden 002C,8,3.1,12.5,37,9.5,5.2,0.5,53603.00 ,3.9,0
E01000896,Camden 002D,6.7,2.2,19.4,35.1,4.7,3,0.8,70351.00 ,4.4,0
E01000899,Camden 002E,5.9,1.4,22.2,24.5,6.2,2.5,1.1,76166.00 ,3,0
E01000910,Camden 003A,4.2,2.9,21.6,21.4,6.9,3,0.8,64961.00 ,4.7,1
E01000911,Camden 003B,6.7,7,22.6,15.8,15.5,5.3,0.6,37176.00 ,4.9,1
E01000921,Camden 003C,7.8,6.1,15.5,48.8,9.2,4.1,0.4,35597.00 ,5.9,1
E01000923,Camden 003D,7.2,5.4,24.8,17.7,13.9,7.6,0.5,45322.00 ,5.6,1
E01000928,Camden 003E,9.5,6.7,22.6,19.6,17.2,6,0.5,35656.00 ,5.7,1
E01000878,Camden 004A,16.9,4.1,20.5,29.3,7.7,3.1,1,56251.00 ,4.3,1
E01000879,Camden 004B,8.8,2.3,19.6,40,5.2,2.5,0.7,64715.00 ,4.9,0
E01000880,Camden 004C,12,2.2,22.9,41.7,4.9,1.8,0.8,69876.00 ,5.8,1
E01000884,Camden 004D,9.5,2.2,25.8,30.8,4.9,2.2,1.2,71430.00 ,2.7,0
E01000885,Camden 004E,10.6,1.3,15.5,27.4,10.8,3.5,1.3,78339.00 ,2.6,2
