ptal_poor_access,ptal_good_access
0.00 ,45.90 
33.70 ,0.00 
0.00 ,0.00 
0.00 ,41.60 
27.80 ,0.50 
4.00 ,1.20 
0.00 ,5.50 
0.00 ,0.00 
0.00 ,35.30 
22.20 ,0.00 
0.00 ,65.90 
0.00 ,91.70 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,95.30 
0.00 ,55.40 
0.00 ,41.70 
0.00 ,80.70 
33.50 ,0.00 
43.00 ,0.00 
1.70 ,24.00 
0.00 ,95.80 
0.00 ,17.30 
0.00 ,100.00 
0.00 ,94.60 
0.00 ,0.00 
0.00 ,76.60 
0.00 ,25.20 
0.00 ,83.20 
0.00 ,0.80 
0.00 ,16.70 
0.00 ,7.30 
0.00 ,1.20 
0.00 ,45.60 
0.00 ,97.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,59.30 
0.00 ,97.50 
0.00 ,96.20 
0.00 ,93.60 
0.00 ,98.70 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,81.60 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,10.10 
0.00 ,35.70 
0.00 ,32.50 
0.00 ,66.10 
0.00 ,24.90 
28.00 ,14.50 
0.00 ,100.00 
0.00 ,84.80 
0.00 ,68.50 
0.00 ,83.90 
0.00 ,67.20 
0.00 ,91.70 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,0.20 
0.00 ,64.60 
4.00 ,0.00 
0.00 ,41.30 
0.00 ,100.00 
67.10 ,0.00 
0.00 ,43.40 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,93.30 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
20.80 ,15.10 
0.00 ,1.10 
0.00 ,88.30 
0.00 ,1.60 
0.10 ,0.00 
0.00 ,60.50 
0.00 ,100.00 
0.00 ,100.00 
8.40 ,44.00 
0.00 ,98.20 
0.00 ,100.00 
0.00 ,59.50 
0.00 ,100.00 
0.00 ,100.00 
3.80 ,51.30 
34.50 ,35.20 
0.00 ,100.00 
0.00 ,83.20 
0.00 ,100.00 
0.00 ,91.30 
0.00 ,100.00 
8.20 ,85.60 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,83.90 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
